id,title,content,url,source,author,category,published_at,prediction,score,collected_at
1,Tens of thousands descend on London for rival protests,"A heavy police operation is in place for the Unite the Kingdom march, organised by Tommy Robinson, and a separate pro-Palestinian protest.",https://www.bbc.com/news/articles/c3d2ryyz0jzo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
2,The race to replace Starmer is on - but he still faces a momentous choice,"Labour is consumed by drama, but the PM still faces big decisions - and what could be his final choice.",https://www.bbc.com/news/articles/cx213m1d82lo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
3,"Trump warns Taiwan against declaring independence, hours after summit with China's Xi","The US president says he wants Beijing and Taipei to ""cool down"" tensions over the self-governing island.",https://www.bbc.com/news/articles/ce8p61v7l68o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
4,Switzerland to open secret files on Auschwitz 'Angel of Death' Mengele,Mengele fled Europe after the war but for years there were rumours he spent time in Switzerland.,https://www.bbc.com/news/articles/cgjpyqjj8y4o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
5,"Eurovision final: Sex, violins and seven other things to look out for","A guide to the stand-out moments of Eurovision 2026, ahead of Saturday night's final in Vienna.",https://www.bbc.com/news/articles/c1d2qe73ly7o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
6,I tried the UK's 'saltiest' sandwich - here's what I learned,Health correspondent James Gallagher absorbs more than the recommended daily limit in just one meal to find out how salt affects our bodies.,https://www.bbc.com/news/articles/cd9pylq25y9o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
7,"'They took 20,000 I didn't owe': Parents hit by child maintenance errors",John Hammond is one of 30 parents who told BBC Your Voice they'd experienced problems with the CMS.,https://www.bbc.com/news/articles/cq8wjn98y85o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
8,What is a 'safe death'? Mentally ill woman asks for assisted dying in Canada,Canada has twice delayed access to medically assisted dying for those with mental illness. Claire Brosseau says she cannot wait any longer and wants the courts to decide.,https://www.bbc.com/news/articles/c78qzpg0n0go?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
9,Alleged murder of Aboriginal girl highlights Australia's deep inequalities,Her death has sparked outrage across Australia and intense debate about disparities in society.,https://www.bbc.com/news/articles/cq6p57mnz9lo?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
10,Everything you need to know about tonight's final,Eurovision 2026 is taking place in Vienna after Austrian singer JJ won the 2025 event.,https://www.bbc.com/news/articles/cx2g7z375l9o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
11,How much do you know about Europe's biggest pop spectacle?,Are you the ultimate Eurovision superfan? Take our quiz to find out,https://www.bbc.com/news/articles/c4g7zd66e13o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
12,"Meet the UK's Eurovision act, Look Mum No Computer","""It could go well or completely wrong, I'm just here for the ride,"" says song contest hopeful Sam Battle.",https://www.bbc.com/news/articles/clyp6w9ejyko?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
13,"Senior IS leader killed in joint operation, US and Nigeria say","President Donald Trump said the operation eliminated ""the most active terrorist in the world"", Abu-Bilal al-Minuki.",https://www.bbc.com/news/articles/cy72p2kpd03o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
14,Call for more meningitis vaccines after teen dies,Head of Meningitis Now wants to see a wider rollout after Oxfordshire sixth-form pupil's death.,https://www.bbc.com/news/articles/c99lg2d4r84o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.367140,,,2026-05-16T09:45:37.367140
15,Man killed by 13ft great white shark in Western Australia,"The man was bitten just before 10:00 (03:00 BST) at Horseshoe Reef - north-west of the popular Rottnest Island near the city of Perth, local police said.",https://www.bbc.com/news/articles/c1m2xy3dr20o?at_medium=RSS&at_campaign=rss,BBC,Inconnu,General,2026-05-16T09:45:37.370119,,,2026-05-16T09:45:37.370119
